["教育程度", "type"]	["哪种类型是entity的毕业学校？"]
["subdivisionName", "largestmetro"]	["entity最大的地铁在哪里？"]
["artist", "genre"]	["发布entity的艺人属于哪种类型？"]
["countryofbirth", "languages"]	["谁使用entity的祖国的区域语言？"]
["countryofbirth", "callingCode"]	["什么是entity的祖国中的调用代码？"]
["monarch", "issue"]	["谁是entity的父母？"]
["popplace", "timezone"]	["entity的主要分布区域属于哪个时区？"]
["popplace", "mammal"]	["entity的主要分布区域中濒临灭绝的哺乳动物是什么？"]
["countryofbirth", "leaderName"]	["谁是entity的祖国的领导者？"]
["company", "type"]	["哪种类型是entity的运营公司？"]
["company", "services"]	["什么包含在entity的运营公司的服务中？"]
["leader", "title"]	["什么是entity的领导人的名字？"]
["company", "logo"]	["entity的运营公司的标识是什么？"]
["时代", "eventEnd"]	["什么时候entity哪个时代解散了？"]
["相關團體", "currentMembers"]	["谁是entity的相关团体的现任乐队领队？"]
["party", "ideology"]	["什么是entity所属的党派的政治意识形态？"]
["title", "candidate"]	["谁是entity的标题的候选人？"]
["combatant", "house"]	["entity有什么样的立法机构？"]
["distributor", "founder"]	["谁是entity的发行商的创始人？","谁创立了entity的发行商？"]
["genusAuthority", "birthPlace"]	["entity的属PRU（生物PRU（）的命名者出生在哪里？"]
["nationalteam", "stadium"]	["entity在哪里训练？"]
["birthPlace", "establishedEvent"]	["什么时候entity的出生地创建既定事件？"]
["binomialAuthority", "almaMater"]	["entity的二项式命名法学名的从哪里毕业？"]
["region", "callingCode"]	["什么是entity所在的行政区中的调用代码？"]
["usedBy", "leaderTitle"]	["entity的使用者在哪里作为leaderTitle？"]
["wars", "commander"]	["我们应该称之为到entity的战争的指挥官？"]
["city", "postalCode"]	["什么是entity的所在城市的邮政编码？"]
["birthplace", "regionalLanguages"]	["哪种语言是entityO第一CLPM支登场的球队中的区域语言？"]
["place", "subdivisionName"]	["entity的地址的细分名称是什么？"]
["place", "timezone"]	["entity的地址属于哪个时区？"]
["starring", "relatives"]	["谁是参演entity的演员的亲戚？"]
["successor", "successor"]	["谁是entity的一CLPM代产品的继承人？"]
["birthPlace", "north"]	["哪个城市位于entity的出生地的北部？"]
["author", "children"]	["entity的原著作者孩子的名字是什么？"]
["location", "callingCode"]	["什么是entity的位置中的调用代码？"]
["city", "northeast"]	["位于entity的所在城市东北的地方是什么？"]
["演出", "placeOfBirth"]	["出演entity的演员出生在哪里？"]
["lyrics", "label"]	["entity的的标签是什么？"]
["place", "leaderName"]	["谁是entity的地址的领导者？"]
["place", "subdivisionType"]	["entity的地址的行政级别是什么？"]
["nationalteam", "location"]	["entity在哪里？"]
["aircraftType", "type"]	["哪种类型是entity涉及的飞机型号？"]
["programmingLanguage", "dialects"]	["entity的开发语言的方言是什么？"]
["birthPlace", "leaderName"]	["谁是entity的出生地的领导者？"]
["managerclubs", "stadium"]	["entity执教的俱乐部在哪里训练？"]
["subdivisionName", "label"]	["entity的标签是什么？"]
["genre", "stylisticOrigins"]	["entity的类型的风格起源是什么？"]
["region", "leaderParty"]	["什么是entity所在的行政区的领导方？"]
["president", "successor"]	["谁是entity效力的总统的继承人？"]
["artist", "associatedActs"]	["谁与发布entity的艺人相关联？"]
["precededBy", "starring"]	["谁主演entity的一CLPM部作品？"]
["followedBy", "starring"]	["谁主演entity的一CLPM部作品？"]
["starring", "before"]	["谁是参演entity的演员的上一任？"]
["countryofbirth", "lowerHouse"]	["什么是entity的祖国的下议院？"]
["countryofbirth", "leaderTitle"]	["entity的祖国在哪里作为leaderTitle？"]
["city", "legislature"]	["什么是entity的所在城市的立法机关？"]
["college", "affiliations"]	["entity所就读的大学隶属于什么机构？"]
["platforms", "logo"]	["entity的发布平台的标识是什么？"]
["influenced", "education"]	["受到entity影响的人毕业的地方？","受到entity影响的人从哪个学校毕业？"]
["location", "leaderName"]	["谁是entity的位置的领导者？"]
["plat", "media"]	["什么是entity的发布平台的媒体？"]
["managerclubs", "manager"]	["谁是entity执教的俱乐部的经理？"]
["almaMater", "athletics"]	["entity的母校属于哪个协会？"]
["nationality", "establishedEvent"]	["什么时候entity的国籍创建既定事件？"]
["commander", "mother"]	["谁是entity的将领的母亲？"]
["company", "industry"]	["entity的运营公司所属的产业类型是什么？"]
["almaMater", "president"]	["谁是entity的母校的总裁？"]
["college", "type"]	["哪种类型是entity所就读的大学？"]
["draftTeam", "coach"]	["谁是选秀选中entity的球队的现任经理？"]
["almaMater", "nickname"]	["entity的母校的昵称是什么？"]
["region", "timezone"]	["entity所在的行政区属于哪个时区？"]
["operatingSystem", "supportedPlatforms"]	["entity的操作系统支持哪些平台？"]
["distributor", "divisions"]	["哪个唱片公司的entity的发行商拥有？"]
["subdivisionName", "subdivisionName"]	["entity的细分名称是什么？"]
["subdivisionName", "governmentType"]	["entity政府类型是什么？"]
["subdivisionName", "southwest"]	["位于entity西南的是什么？"]
["subdivisionName", "northeast"]	["位于entity东北的地方是什么？"]
["leader", "birthPlace"]	["entity的领导人出生在哪里？"]
["publisher", "divisions"]	["哪个唱片公司的entity的出版商拥有？"]
["leader", "issue"]	["谁是entity的领导人的父母？"]
["president", "title"]	["什么是entity效力的总统的名字？"]
["president", "predecessor"]	["谁是entity效力的总统的前身？"]
["seat", "governingBody"]	["entity的行政中心的管理机构是什么？"]
["party", "predecessor"]	["谁是entity所属的党派的前身？"]
["developer", "keyPeople"]	["谁是entity的开发商的首席执行官？"]
["producer", "associatedActs"]	["谁与entity的制片人相关联？"]
["states", "sovereigntyType"]	["什么是使用entity的地区的主权类型？"]
["states", "regionalLanguages"]	["哪种语言是使用entity的地区中的区域语言？"]
["place", "leaderTitle"]	["entity的地址在哪里作为leaderTitle？"]
["headquarters", "leaderTitle"]	["entity的总部地址在哪里作为leaderTitle？"]
["plat", "sourceModel"]	["哪一个是entity的发布平台的源模型？"]
["manufacturer", "logo"]	["entity的生产商的标识是什么？"]
["primaryUser", "caption"]	["entity的主要用户的标识是什么？"]
["語言", "fam"]	["entity使用的语言属于哪种语言？"]
["country", "establishedEvent"]	["什么时候entity的创建既定事件？"]
["successor", "predecessor"]	["谁是entity的一CLPM代产品的前身？"]
["after", "mother"]	["谁是entity的的母亲？"]
["writer", "deathPlace"]	["entity的作者死在哪里？","entity的作者的死亡地点是什么？"]
["nationalteam", "asstManager"]	["谁是entity的前助理教练？"]
["country", "leaderName"]	["谁是entity的的领导者？"]
["subdivisionName", "leaderTitle"]	["entity在哪里作为leaderTitle？"]
["region", "leader"]	["谁是entity所在的行政区的领导者？"]
["seat", "subdivisionName"]	["entity的行政中心的细分名称是什么？"]
["platforms", "manufacturer"]	["什么是entity的发布平台的制造商？","谁制作了entity的发布平台？"]
["garrison", "establishedEvent"]	["什么时候entity驻守的区域创建既定事件？"]
["constituencyWestminster", "candidate"]	["谁是entity的选区的候选人？"]
["successor", "mother"]	["谁是entity的一CLPM代产品的母亲？"]
["youthclubs", "manager"]	["谁是entity所属青年俱乐部的经理？"]
["discoverySite", "mammal"]	["entity的发现地区中濒临灭绝的哺乳动物是什么？"]
["debutteam", "list1."]	["谁是第一个在entity的O第一CLPM支球队中添加内容的人？"]
["finalteam", "list2."]	["谁是1904年entity效力的最后一CLPM支球队最好的右手投手？"]
["company", "owner"]	["谁是entity的运营公司的所有者？"]
["ground", "establishedEvent"]	["什么时候entity的地址创建既定事件？"]
["discoverySite", "upperHouse"]	["什么是entity的发现地区的上议院？"]
["subdivisionName", "p"]	["如何用汉语拼音拼写entity？","entity的中文拼音是什么？"]
["place", "cities"]	["哪个列表按人口排列entity的地址中的城市地区？"]
["place", "southwest"]	["位于entity的地址西南的是什么？"]
["place", "grass"]	["什么样的草原产于entity的地址？"]
["workInstitution", "athletics"]	["entity的工作机构属于哪个协会？"]
["line", "owner"]	["谁是entity的地铁线的所有者？"]
["company", "predecessor"]	["谁是entity的运营公司的前身？"]
["states", "leaderName"]	["谁是使用entity的地区的领导者？"]
["subdivisionName", "tree"]	["什么树大部分种植在entity？"]
["langs", "ethnicGroups"]	["entity擅长的语言属于哪个民族？"]
["successor", "spouse"]	["谁是entity的一CLPM代产品的配偶？"]
["successor", "alongside"]	["谁像entity的一CLPM代产品一样出名？","谁与entity的一CLPM代产品同样出名？"]
["label", "founder"]	["谁是entity的标签的创始人？","谁创立了entity的标签？"]
["starring", "almaMater"]	["参演entity的演员从哪里毕业？"]
["country", "officialReligion"]	["哪一项是entity的第一修正案的宗教条款中规定的受宪法保护的权利？"]
["country", "callingCode"]	["什么是entity的中的调用代码？"]
["president", "primeminister"]	["谁是entity效力的总统的首相？"]
["title", "genre"]	["entity的标题属于哪种类型？"]
["archipelago", "ethnicGroups"]	["entity的属于哪个民族？"]
["successor", "almaMater"]	["entity的一CLPM代产品从哪里毕业？"]
["almaMater", "affiliations"]	["entity的母校隶属于什么机构？"]
["ground", "label"]	["entity的地址的标签是什么？"]
["ground", "timezone"]	["entity的地址属于哪个时区？"]
["predecessor", "successor"]	["谁是entity的前代产品的继承人？"]
["citizenship", "establishedEvent"]	["什么时候entity的公民身份创建既定事件？"]
["語言", "sign"]	["entity使用的语言使用什么样的语言？"]
["currentclub", "chairman"]	["谁是entity的主席？"]
["before", "before"]	["谁是entity的前任的上一任？"]
["predecessor", "placeOfBirth"]	["entity的前代产品出生在哪里？"]
["president", "spouse"]	["谁是entity效力的总统的配偶？"]
["successor", "title"]	["什么是entity的一CLPM代产品的名字？"]
["writer", "occupation"]	["entity的作者从事的职业是什么？","entity的作者的工作是什么？"]
["location", "leaderTitle"]	["entity的位置在哪里作为leaderTitle？"]
["location", "northwest"]	["哪个地方位于entity的位置的西北部？"]
["champion", "manager"]	["谁是entity的总冠军的经理？"]
["主演", "occupation"]	["entity的演员从事的职业是什么？","entity的演员的工作是什么？"]
["leader", "religion"]	["entity的领导人的宗教是什么？"]
["starring", "parents"]	["谁养育了参演entity的演员？","谁把参演entity的演员抚养长大？","谁是参演entity的演员的父母？"]
["subdivisionName", "seat"]	["发现entity的地方是什么？"]
["party", "youthWing"]	["entity所属的党派的青年翼是什么？"]
["issue", "spouse"]	["谁是entity的后裔的配偶？"]
["areas", "leaderTitle"]	["entity在哪里作为leaderTitle？"]
["spouse", "issue"]	["谁是entity的配偶的父母？"]
["before", "issue"]	["谁是entity的前任的父母？"]
["operatingSystem", "label"]	["entity的操作系统的标签是什么？"]
["genre", "otherTopics"]	["entity的类型属于哪种音乐？"]
["subdivisionName", "seatType"]	["entity的行政级别是什么？"]
["operator", "owner"]	["谁是entity的相关运营A方是的所有者？"]
["subdivisionName", "title"]	["什么是entity的名字？"]
["subdivisionName", "motto"]	["什么是entity的座右铭？"]
["nationality", "demonym"]	["我们称之为entity的国籍的人是谁？"]
["音樂類型", "otherTopics"]	["entity的音乐类型属于哪种音乐？"]
["before", "spouse"]	["谁是entity的前任的配偶？"]
["platform", "updatemodel"]	["entity的运行平台更新模型的名称是什么？"]
["successor", "birthPlace"]	["entity的一CLPM代产品出生在哪里？"]
["birthPlace", "food"]	["entity的出生地中食物的无生命徽章是什么？"]
["music", "occupation"]	["entity的配乐作者从事的职业是什么？","entity的配乐作者的工作是什么？"]
["successor", "candidate"]	["谁是entity的一CLPM代产品的候选人？"]
["producer", "spouse"]	["谁是entity的制片人的配偶？"]
["predecessor", "birthPlace"]	["entity的前代产品出生在哪里？"]
["poleTeam", "before"]	["谁是entity的优胜车队的上一任？"]
["influencedBy", "influenced"]	["谁影响了P对entity产生影响的编码语言？"]
["successor", "placeOfBirth"]	["entity的一CLPM代产品出生在哪里？"]
["languages", "script"]	["什么是entity使用的语言的盲文？"]
["starring", "label"]	["参演entity的演员的标签是什么？"]
["主唱", "before"]	["谁是entity的主唱的上一任？"]
["國家", "ethnicGroups"]	["entity所属的国家属于哪个民族？"]
["國家", "callingCode"]	["什么是entity所属的国家中的调用代码？"]
["binomialAuthority", "title"]	["什么是entity的二项式命名法学名的的名字？"]
["countryofbirth", "governmentType"]	["entity的祖国政府类型是什么？"]
["platforms", "updatemodel"]	["entity的发布平台更新模型的名称是什么？"]
["cityofbirth", "region"]	["entity的出生地属于哪个列表？","哪个列表包含entity的出生地？"]
["cityofbirth", "p"]	["如何用汉语拼音拼写entity的出生地？","entity的出生地的中文拼音是什么？"]
["currentclub", "gk"]	["谁是entity的守门员？"]
["states", "demonym"]	["我们称之为使用entity的地区的人是谁？"]
["capital", "subdivisionName"]	["entity的首都的细分名称是什么？"]
["capital", "subdivisionType"]	["entity的首都的行政级别是什么？"]
["capital", "timezone"]	["entity的首都属于哪个时区？"]
["currentclub", "manager"]	["谁是entity的经理？"]
["cityofbirth", "northwest"]	["哪个地方位于entity的出生地的西北部？"]
["cityofbirth", "leaderTitle"]	["entity的出生地在哪里作为leaderTitle？"]
["successor", "deputy"]	["谁是entity的一CLPM代产品的部长？"]
["popplace", "languages"]	["谁使用entity的主要分布区域的区域语言？"]
["popplace", "leaderName"]	["谁是entity的主要分布区域的领导者？"]
["successor", "honorificPrefix"]	["entity的一CLPM代产品的荣誉称号是什么？"]
["predecessor", "title"]	["什么是entity的前代产品的名字？"]
["successor", "religion"]	["entity的一CLPM代产品的宗教是什么？"]
["commonLanguages", "script"]	["什么是entity的通用语言的盲文？"]
["almaMater", "logo"]	["entity的母校的标识是什么？"]
["distributor", "keyPeople"]	["谁是entity的发行商的首席执行官？"]
["nationalteam", "regionalName"]	["entity的地区名称是什么？"]
["areas", "highestpoint"]	["entity的最高点是什么？"]
["nationalteam", "title"]	["什么是entity的名字？"]
["associatedActs", "currentMembers"]	["谁是entity的相关艺人的现任乐队领队？"]
["教育程度", "affiliations"]	["entity的毕业学校隶属于什么机构？"]
["cityofbirth", "subdivisionName"]	["entity的出生地的细分名称是什么？"]
["countryofbirth", "ethnicGroups"]	["entity的祖国属于哪个民族？"]
["managerclubs", "owner"]	["谁是entity执教的俱乐部的所有者？"]
["cityofbirth", "leaderName"]	["谁是entity的出生地的领导者？"]
["doctoralStudents", "knownFor"]	["什么是entity的博士生知道的？"]
["series", "developer"]	["谁开发entity？","谁是entity的开发者？"]
["tenants", "stadium"]	["entity的承租方在哪里训练？"]
["stadium", "north"]	["哪个城市位于举办entity的体育场的北部？"]
["instrument", "caption"]	["entity使用的乐器的标识是什么？"]
["director", "occupation"]	["entity的导演从事的职业是什么？","entity的导演的工作是什么？"]
["location", "establishedTitle"]	["哪个法律","行为使entity的位置成立？"]
["origin", "establishedTitle"]	["哪个法律","行为使entity的发源地成立？"]
["origin", "leaderName"]	["谁是entity的发源地的领导者？"]
["連載雜誌", "genre"]	["连载entity的杂志属于哪种类型？"]
["author", "influences"]	["谁影响entity的原著作者？"]
["所屬公司", "owner"]	["谁是AentityEV的所属公司的所有者？"]
["states", "p"]	["如何用汉语拼音拼写使用entity的地区？","使用entity的地区的中文拼音是什么？"]
["artist", "occupation"]	["发布entity的艺人从事的职业是什么？","发布entity的艺人的工作是什么？"]
["city", "northwest"]	["哪个地方位于entity的所在城市的西北部？"]
["associatedActs", "associatedActs"]	["谁与entity的相关艺人相关联？"]
["fromAlbum", "genre"]	["entity的一CLPM部专辑属于哪种类型？"]
["referee", "leaderName"]	["谁是entity的裁判员的领导者？"]
["referee", "ethnicGroups"]	["entity的裁判员属于哪个民族？"]
["referee", "upperHouse"]	["什么是entity的裁判员的上议院？"]
["referee", "establishedEvent"]	["什么时候entity的裁判员创建既定事件？"]
["music", "associatedActs"]	["谁与entity的配乐作者相关联？"]
["subdivisionName", "leaderName"]	["谁是entity的领导者？"]
["country", "religion"]	["entity的的宗教是什么？"]
["founder", "successor"]	["谁是entity的创始人的继承人？"]
["founder", "spouse"]	["谁是entity的创始人的配偶？"]
["operatingSystem", "updatemodel"]	["entity的操作系统更新模型的名称是什么？"]
["countryofbirth", "regionalLanguages"]	["哪种语言是entity的祖国中的区域语言？"]
["stadium", "tenants"]	["哪个俱乐部举办entity的体育场租给哪个？","哪个俱乐部做租客举办entity的体育场？"]
["deathplace", "leaderName"]	["谁是entity逝世的地方的领导者？"]
["primeminister", "predecessor"]	["谁是entity的首相的前身？"]
["youthclubs", "title"]	["什么是entity所属青年俱乐部的名字？"]
["countryofbirth", "establishedEvent"]	["什么时候entity的祖国创建既定事件？"]
["起點站", "operator"]	["哪个公司entity的起点站属于？"]
["state", "deputy"]	["谁是entity所在的州的部长？"]
["countryofbirth", "sovereigntyType"]	["什么是entity的祖国的主权类型？"]
["genre", "derivatives"]	["什么是entity的类型的衍生物？"]
["youthclubs", "affiliations"]	["entity所属青年俱乐部隶属于什么机构？"]
["nationalteam", "rcb"]	["谁是entity最强的玩家？"]
["cityofbirth", "timezone"]	["entity的出生地属于哪个时区？"]
["youthclubs", "athletics"]	["entity所属青年俱乐部属于哪个协会？"]
["currentclub", "stadium"]	["entity在哪里训练？"]
["countryofbirth", "title"]	["什么是entity的祖国的名字？"]
["countryofbirth", "label"]	["entity的祖国的标签是什么？"]
["president", "children"]	["entity效力的总统孩子的名字是什么？"]
["countryofbirth", "seat"]	["发现entity的祖国的地方是什么？"]
["subdivisionName", "callingCode"]	["什么是entity中的调用代码？"]
["cityofbirth", "subdivisionType"]	["entity的出生地的行政级别是什么？"]
["manufacturer", "founder"]	["谁是entity的生产商的创始人？","谁创立了entity的生产商？"]
["manufacturer", "industry"]	["entity的生产商所属的产业类型是什么？"]
["after", "title"]	["什么是entity的的名字？"]
["stadium", "languages"]	["谁使用举办entity的体育场的区域语言？"]
["主演", "title"]	["什么是entity的演员的名字？"]
["producer", "genre"]	["entity的制片人属于哪种类型？"]
["deathPlace", "callingCode"]	["什么是entity逝世的地方中的调用代码？"]
["placeOfBirth", "leaderTitle"]	["entity的出生地在哪里作为leaderTitle？"]
["prev", "children"]	["entity的孩子的名字是什么？"]
["nominee", "children"]	["entity的提名人孩子的名字是什么？"]
["beforeElection", "successor"]	["谁是entity一CLPM任领导人的继承人？"]
["cityofbirth", "postalCode"]	["什么是entity的出生地的邮政编码？"]
["所屬公司", "logo"]	["AentityEV的所属公司的标识是什么？"]
["cities", "region"]	["entity属于哪个列表？","哪个列表包含entity？"]
["influencedBy", "logo"]	["P对entity产生影响的编码语言的标识是什么？"]
["lastAlbum", "starring"]	["谁主演entity的一CLPM张专辑？"]
["youthclubs", "chairman"]	["谁是entity所属青年俱乐部的主席？"]
["nationalteam", "referee"]	["谁是entity的裁判？"]
["currentclub", "ground"]	["entity的主场在哪里？"]
["location", "establishedEvent"]	["什么时候entity的位置创建既定事件？"]
["location", "upperHouse"]	["什么是entity的位置的上议院？"]
["stadium", "owner"]	["谁是举办entity的体育场的所有者？"]
["stadium", "referee"]	["谁是举办entity的体育场的裁判？"]
["stadium", "leaderTitle"]	["举办entity的体育场在哪里作为leaderTitle？"]
["managerclubs", "ground"]	["entity执教的俱乐部的主场在哪里？"]
["nextSeason", "title"]	["什么是entity的下一季的名字？"]
["nextSeason", "writtenby"]	["谁写过entity的下一季？","谁是entity的下一季的作者？"]
["doctoralAdvisor", "ancestry"]	["entity的博士生导师的家人来自哪里？","entity的博士生导师的故乡是什么？"]
["nationality", "label"]	["entity的国籍的标签是什么？"]
["label", "lcm"]	["谁是entity的标签的新QPR英雄？"]
["音樂類型", "instruments"]	["entity的音乐类型使用什么工具？"]
["stylisticOrigins", "derivatives"]	["什么是entity的风格源头的衍生物？"]
["music", "origin"]	["entity的配乐作者的起源是什么？"]
["usedBy", "lowerHouse"]	["什么是entity的使用者的下议院？"]
["followedBy", "directedby"]	["谁导演entity的一CLPM部作品？","谁是entity的一CLPM部作品的导演？"]
["manufacturer", "divisions"]	["哪个唱片公司的entity的生产商拥有？"]
["founder", "almaMater"]	["entity的创始人从哪里毕业？"]
["owner", "governmentType"]	["entity的总裁政府类型是什么？"]
["owner", "deputy"]	["谁是entity的总裁的部长？"]
["predecessor", "spouse"]	["谁是entity的前代产品的配偶？"]
["cityofbirth", "governingBody"]	["entity的出生地的管理机构是什么？"]
["commander", "placeOfDeath"]	["entity的将领死在哪里？","这是entity的将领的死亡地点？"]
["influencedBy", "dialects"]	["P对entity产生影响的编码语言的方言是什么？"]
["starring", "occupation"]	["参演entity的演员从事的职业是什么？","参演entity的演员的工作是什么？"]
["nextAlbum", "birthPlace"]	["entityLC之后的一CLPM部专辑出生在哪里？"]
["commonLanguages", "fam"]	["entity的通用语言属于哪种语言？"]
["cityofbirth", "areaCodeType"]	["entity的出生地有哪些类型的区号？"]
["commander", "birthPlace"]	["entity的将领出生在哪里？"]
["相關團體", "birthPlace"]	["entity的相关团体出生在哪里？"]
["locationCity", "seat"]	["发现entity的所在地的地方是什么？"]
["langs", "fam"]	["entity擅长的语言属于哪种语言？"]
["producer", "placeOfBirth"]	["entity的制片人出生在哪里？"]
["areas", "governor"]	["谁是entity的现任州长？"]
["leader", "deputy"]	["谁是entity的领导人的部长？"]
["母校", "type"]	["哪种类型是entity的母校？"]
["city", "p"]	["如何用汉语拼音拼写entity的所在城市？","entity的所在城市的中文拼音是什么？"]
["origin", "timezone"]	["entity的发源地属于哪个时区？"]
["製作", "keyPeople"]	["谁是entity的制作方的首席执行官？"]
["subdivisionName", "upperHouse"]	["什么是entity的上议院？"]
["platform", "logo"]	["entity的运行平台的标识是什么？"]
["教育程度", "mascot"]	["什么是entity的毕业学校的吉祥物？"]
["地址", "governmentType"]	["entity的地址政府类型是什么？"]
["subdivisionName", "type"]	["哪种类型是entity？"]
["music", "label"]	["entity的配乐作者的标签是什么？"]
["place", "p"]	["如何用汉语拼音拼写entity的地址？","entity的地址的中文拼音是什么？"]
["combatant", "event"]	["哪个文件","事件影响了entity的灭绝并在欧洲结束了第二次世界大战？"]
["poleTeam", "principal"]	["谁是entity的优胜车队的负责人？"]
["city", "location"]	["entity的所在城市在哪里？"]
["owner", "list3."]	["entity的总裁为之奋斗的第三支职业球队是什么？"]
["artist", "executiveProducer"]	["谁是发布entity的艺人的执行制片人？"]
["states", "lowerHouse"]	["什么是使用entity的地区的下议院？"]
["states", "ethnicGroups"]	["使用entity的地区属于哪个民族？"]
["states", "callingCode"]	["什么是使用entity的地区中的调用代码？"]
["nationalteam", "homeStadium"]	["什么是entity的主场？"]
["subdivisionName", "postalCodeType"]	["entity使用什么类型的邮政编码？"]
["langs", "ancestor"]	["entity擅长的语言的祖先在哪里？"]
["langs", "script"]	["什么是entity擅长的语言的盲文？"]
["line", "operator"]	["哪个公司entity的地铁线属于？"]
["country", "regionalLanguages"]	["哪种语言是entity的中的区域语言？"]
["areaServed", "callingCode"]	["什么是entity的服务区域中的调用代码？"]
["city", "demonym"]	["我们称之为entity的所在城市的人是谁？"]
["successor", "issue"]	["谁是entity的一CLPM代产品的父母？"]
["starring", "influences"]	["谁影响参演entity的演员？"]
["commonLanguages", "ancestor"]	["entity的通用语言的祖先在哪里？"]
["連載雜誌", "title"]	["什么是连载entity的杂志的名字？"]
["issue", "birthPlace"]	["entity的后裔出生在哪里？"]
["afterElection", "children"]	["entity的胜选者孩子的名字是什么？"]
["籍貫", "settlementType"]	["entity的籍贯属于哪个地区？"]
["territory", "postalCodeType"]	["entity覆盖的区域使用什么类型的邮政编码？"]
["place", "largestmetro"]	["entity的地址最大的地铁在哪里？"]
["territory", "areaCodeType"]	["entity覆盖的区域有哪些类型的区号？"]
["currentMembers", "associatedActs"]	["谁与entity的现任成员相关联？"]
["subdivisionName", "timezone"]	["entity属于哪个时区？"]
["platforms", "supportedPlatforms"]	["entity的发布平台支持哪些平台？"]
["basinCountries", "establishedEvent"]	["什么时候entity的沿线国家创建既定事件？"]
["territory", "seatType"]	["entity覆盖的区域的行政级别是什么？"]
["music", "birthPlace"]	["entity的配乐作者出生在哪里？"]
["政权", "leader"]	["谁是entity的的领导者？"]
["developer", "location"]	["entity的开发商在哪里？"]
["相關團體", "associatedActs"]	["谁与entity的相关团体相关联？"]
["lastAlbum", "producer"]	["谁是entity的一CLPM张专辑的制片人？"]
["city", "subdivisionName"]	["entity的所在城市的细分名称是什么？"]
["自治體", "mayor"]	["谁是entity的地方政府的市长？"]
["birthPlace", "southwest"]	["位于entity的出生地西南的是什么？"]
["predecessor", "alongside"]	["谁像entity的前代产品一样出名？","谁与entity的前代产品同样出名？"]
["fam", "fam"]	["entity的属于哪种语言？"]
["nationalteam", "coach"]	["谁是entity的现任经理？"]
["discoverySite", "subdivisionType"]	["entity的发现地区的行政级别是什么？"]
["residence", "leaderTitle"]	["entity的居住地在哪里作为leaderTitle？"]
["nationalteam", "round"]	["什么是entity的主场？","哪一个是entity的主场？"]
["所在地區", "leaderName"]	["谁是entity的所属区域的领导者？"]
["location", "ethnicGroups"]	["entity的位置属于哪个民族？"]
["location", "subdivisionType"]	["entity的位置的行政级别是什么？"]
["title", "list1."]	["谁是第一个在entity的标题中添加内容的人？"]
["youthclubs", "referee"]	["谁是entity所属青年俱乐部的裁判？"]
["predecessor", "predecessor"]	["谁是entity的前代产品的前身？"]
["starring", "title"]	["什么是参演entity的演员的名字？"]
["birthPlace", "subdivisionName"]	["entity的出生地的细分名称是什么？"]
["mother", "callingCode"]	["什么是entity的母亲中的调用代码？"]
["place", "deputy"]	["谁是entity的地址的部长？"]
["city", "region"]	["entity的所在城市属于哪个列表？","哪个列表包含entity的所在城市？"]
["location", "p"]	["如何用汉语拼音拼写entity的位置？","entity的位置的中文拼音是什么？"]
["currentclub", "nickname"]	["entity的昵称是什么？"]
["issue", "succession"]	["谁是entity的后裔的继承人？"]
["issue", "issue"]	["谁是entity的后裔的父母？"]
["developer", "industry"]	["entity的开发商所属的产业类型是什么？"]
