["genre", "subgenres"]	["entity的子类是什么？"]
["shortDescription", "政治制度二"]	["entity的简短描述的国家政权是什么结构？"]
["placeOfBirth", "timezone"]	["entity的出生地使用的时区是什么？","entity的出生地按哪个时区记时？"]
["placeOfDeath", "官方文字"]	["entity的死亡地点的官方文字是什么？","在entity的死亡地点人们用什么语言交流？","entity的死亡地点人的交流语言是什么？","entity的死亡地点人说什么语言？"]
["nationalteam", "stadium"]	["entity的国家队的体育馆是什么？","哪里是entity的国家队的体育馆？"]
["managerclubs", "name"]	["entity管理的俱乐部的繁体形式是什么？","entity管理的俱乐部的繁体怎么写？"]
["location", "東"]	["entity东部的海洋是什么？","什么海位于entity东部？"]
["platforms", "manufacturer"]	["entity所处的平台的制造商是谁？","entity所处的平台由谁制造的？","哪个厂家制造的entity所处的平台？"]
["team", "colors"]	["entity所在的团队的颜色是什么？","什么颜色代表entity所在的团队？"]
["allegiance", "主要節日"]	["entity的效忠的主要节日是什么？","什么节日是entity的效忠的主要节日？"]
["city", "subdivisionName"]	["entity所在的城市属于哪个国家？","entity所在的城市位于哪个国家？"]
["nationality", "官方語言"]	["entity的国籍的官方语言是什么？","在entity的国籍人们用什么语言交流？","entity的国籍人的交流语言是什么？","entity的国籍人说什么语言？"]
["publisher", "products"]	["entity的出版商的产品都有什么？"]
["birthPlace", "主要節日"]	["entity的出生地的主要节日是什么？","什么节日是entity的出生地的主要节日？"]
["designer", "keyPeople"]	["entity的设计师的最重要的职务是什么？","entity的设计师中最高职位是什么？"]
["genre", "fusiongenres"]	["entity的融合形式是什么？","融合过的entity形式是什么？"]
["deathPlace", "timezoneDst"]	["entity的死亡地点使用的时区是什么？","entity的死亡地点按哪个时区记时？"]
["birthPlace", "subdivisionName"]	["entity的出生地属于哪个国家？","entity的出生地位于哪个国家？"]
["headquarters", "timezone"]	["entity的总部使用的时区是什么？","entity的总部按哪个时区记时？"]
["headquarters", "主要宗教"]	["entity的总部的主要宗教是什么？","什么宗教在entity的总部属于主流？"]
["origin", "曆法"]	["entity的历法是什么？","entity地区采用什么历法？"]
["artist", "音樂類型"]	["entity的艺术家创作的音乐类型是什么？","entity的艺术家的音乐属于什么类型？"]
["shireDistrict", "subdivisionName"]	["entity的shireistrict属于哪个国家？","entity的shireistrict位于哪个国家？"]
["shireDistrict", "timezone"]	["entity的shireistrict使用的时区是什么？","entity的shireistrict按哪个时区记时？"]
["citizenship", "政治制度二"]	["entity的公民身份的国家政权是什么结构？"]
["label", "products"]	["制作entity的录音标签的产品都有什么？"]
["placeOfBirth", "最大湖泊"]	["entity的出生地的最大湖泊是什么湖？","哪个湖是entity的出生地中最大的湖泊？"]
["origin", "主要宗教"]	["entity的主要宗教是什么？","什么宗教在entity属于主流？"]
["placeOfBirth", "最大城市名稱"]	["entity的出生地的最大的城市的名称是什么？","哪座城市是entity的出生地中最大的城市？"]
["placeOfBirth", "西"]	["entity的出生地西部的海洋是什么？","什么海位于entity的出生地西部？"]
["starring", "before"]	["一CLPM个主演entity的演员的上一位是什么？"]
["youthclubs", "league"]	["entity参与的联赛叫什么名字？","entity在哪个联赛中参加比赛？"]
["alliances", "writers"]	["entity的联盟之一的作者是谁？","是谁创作了entity的联盟之一？","谁写的entity的联盟之一？","entity的联盟之一是谁的作品？"]
["origin", "民族"]	["entity的民族有哪些？","entity包含哪些民族？"]
["origin", "西南"]	["entity西南部的海洋是什么？","什么海位于entity西南部？"]
["birthPlace", "timezone"]	["entity的出生地使用的时区是什么？","entity的出生地按哪个时区记时？"]
["team", "manager"]	["entity所在的团队的经理是谁？","谁是entity所在的团队的经理？","谁经营管理entity所在的团队？"]
["starring", "children"]	["一CLPM个主演entity的演员的孩子是谁？","谁是一CLPM个主演entity的演员的孩子？","一CLPM个主演entity的演员的孩子叫什么？"]
["almaMater", "affiliations"]	["entity的母校的附属机构是什么？"]
["branch", "commander"]	["entity的一CLPM个分支的指挥官是谁？","entity的一CLPM个分支受谁的指挥？","谁指挥entity的一CLPM个分支？"]
["artist", "genre"]	["entity的艺术家的演唱类型是什么?","entity的艺术家演唱什么类型的音乐？"]
["city", "postalCode"]	["entity所在的城市的邮政编码是什么?"]
["country", "民族"]	["entity的民族有哪些？","entity包含哪些民族？"]
["deathPlace", "政治制度三"]	["entity的死亡地点的政治制度是什么？","entity的死亡地点采用什么制度治国？","什么政治制度被entity的死亡地点所采用？"]
["birthPlace", "senators"]	["entity的出生地的参议员是谁？"]
["president", "vicepresident"]	["entity的总裁的副总统是谁?","谁是entity的总裁的副总统？"]
["placeOfBirth", "postalCodeType"]	["entity的出生地的邮政编码是什么？"]
["placeOfBirth", "主要節日"]	["entity的出生地的主要节日是什么？","什么节日是entity的出生地的主要节日？"]
["genre", "stylisticOrigins"]	["entity风格的起源是什么？","entity起源于什么类型的歌曲？"]
["platforms", "type"]	["entity所处的平台的职业是什么？"]
["country", "東"]	["entity东部的海洋是什么？","什么海位于entity东部？"]
["placeOfDeath", "主要節日"]	["entity的死亡地点的主要节日是什么？","什么节日是entity的死亡地点的主要节日？"]
["deathPlace", "國家外文語言"]	["entity的死亡地点的国家语言是什么？","entity的死亡地点使用什么语言？","在entity的死亡地点中人们用什么语言交流?"]
["nationalteam", "club"]	["entity的国家队属于什么俱乐部？","entity的国家队是哪个俱乐部下的球队？"]
["placeOfBirth", "國家憲法"]	["entity的出生地的国家宪法叫什么？","哪部法律是entity的出生地的国家宪法？"]
["birthPlace", "province"]	["entity的出生地位于哪个省？","哪个省包含城市entity的出生地？","entity的出生地处于哪个省中？"]
["format", "derivatives"]	["entity的格式的衍生类型是什么？"]
["subdivisionName", "最高點"]	["entity的最高点在哪里？","哪里是entity最高的地方？"]
["location", "官方語言"]	["entity的官方语言是什么？","在entity人们用什么语言交流？","entity人的交流语言是什么？","entity人说什么语言？"]
["nationalteam", "name"]	["entity的国家队的繁体形式是什么？","entity的国家队的繁体怎么写？"]
["state", "timezone"]	["entity所属的州使用的时区是什么？","entity所属的州按哪个时区记时？"]
["birthPlace", "中央銀行"]	["entity的出生地的中央银行是什么？","什么是entity的出生地的中央银行？"]
["placeOfBirth", "中央銀行"]	["entity的出生地的中央银行是什么？","什么是entity的出生地的中央银行？"]
["location", "國家結構形式"]	["entity的国家结构形式是什么？","entity是什么体制的国家？"]
["label", "parent"]	["制作entity的录音标签的前身是什么？","制作entity的录音标签由什么演变而来？"]
["country", "最大行政區名稱"]	["entity的最大行政区名称是什么？"]
["location", "立國日期"]	["entity的建国日期是什么？"]
["birthPlace", "leaderParty"]	["entity的出生地的领导政党是什么？","entity的出生地受什么政党领导？","哪个政党领导entity的出生地？"]
["almaMater", "nickname"]	["entity的母校的绰号叫什么？","entity的母校又被称为什么？","entity的母校的另外的名字是什么？"]
["placeOfBirth", "南"]	["entity的出生地南部水域是什么？","哪个水域位于entity的出生地南部？"]
["writer", "occupation"]	["entity的作家的职业是什么？"]
["party", "ideology"]	["entity所属的政党的意识形态是什么？"]
["birthPlace", "leaderName"]	["entity的出生地的领导者是谁？","entity的出生地的市长的名字是什么？","谁是entity的出生地的市长？"]
["city", "senators"]	["entity所在的城市的参议员是谁？"]
["placeOfBirth", "國家政權"]	["entity的出生地的国家政权是什么结构？"]
["deathPlace", "最大湖泊"]	["entity的死亡地点的最大湖泊是什么湖？","哪个湖是entity的死亡地点中最大的湖泊？"]
["placeOfBirth", "capital"]	["entity的出生地的省会是哪里？","entity的出生地的省会叫什么？","哪里是entity的出生地的省会？"]
["subdivisionName", "貨幣單位"]	["entity的货币单位是什么？","entity使用什么货币？","哪种货币在entity流通？"]
["country", "國家憲法"]	["entity的国家宪法叫什么？","哪部法律是entity的国家宪法？"]
["birthPlace", "道路通行方向"]	["entity的出生地的道路通行方向是什么？","在entity的出生地人们倾向于靠什么方向通行？"]
["battles", "commander"]	["entity加入的战斗的指挥官是谁？","entity加入的战斗受谁的指挥？","谁指挥entity加入的战斗？"]
["placeOfBirth", "西南"]	["entity的出生地西南部的海洋是什么？","什么海位于entity的出生地西南部？"]
["platforms", "connectivity"]	["entity所处的平台通过什么联网？","entity所处的平台的互联方式是什么？"]
["origin", "西"]	["entity西部的海洋是什么？","什么海位于entity西部？"]
["appointer", "predecessor"]	["entity的任命的前身是什么？"]
["birthPlace", "民族"]	["entity的出生地的民族有哪些？","entity的出生地包含哪些民族？"]
["deathPlace", "最大行政區名稱"]	["entity的死亡地点的最大行政区名称是什么？"]
["cityServed", "法律體系"]	["entity的服务的法律体系是什么？","什么法律体系被entity的服务使用？"]
["southwest", "subdivisionName"]	["entity的西南属于哪个国家？","entity的西南位于哪个国家？"]
["location", "中央銀行"]	["entity的中央银行是什么？","什么是entity的中央银行？"]
["deathPlace", "國家政權"]	["entity的死亡地点的国家政权是什么结构？"]
["predecessor", "after"]	["entity的前身的下一位是什么？"]
["placeOfBirth", "viceroy"]	["entity的出生地的总督是谁？","谁是entity的出生地的总督？","entity的出生地的最高行政长官是谁？","谁是entity的出生地的最高行政长官？"]
["subdivisionName", "西"]	["entity西部的海洋是什么？","什么海位于entity西部？"]
["writer", "instrument"]	["entity的作家演奏的乐器是什么？","entity的作家表演什么乐器？"]
["locationCity", "subdivisionName"]	["entity所在的城市属于哪个国家？","entity所在的城市位于哪个国家？"]
["manufacturer", "divisions"]	["entity的制造商的子公司有什么？","哪个公司是entity的制造商的子公司？"]
["country", "國家結構形式"]	["entity的国家结构形式是什么？","entity是什么体制的国家？"]
["country", "主要節日"]	["entity的主要节日是什么？","什么节日是entity的主要节日？"]
["region", "viceroy"]	["entity所属的地区的总督是谁？","谁是entity所属的地区的总督？","entity所属的地区的最高行政长官是谁？","谁是entity所属的地区的最高行政长官？"]
["champions", "name"]	["entity的冠军的繁体形式是什么？","entity的冠军的繁体怎么写？"]
["mostChamps", "name"]	["entityA最多冠军的人的繁体形式是什么？","entityA最多冠军的人的繁体怎么写？"]
["publisher", "genre"]	["entity的出版商的演唱类型是什么?","entity的出版商演唱什么类型的音乐？"]
["birthPlace", "国家政权"]	["entity的出生地的国家政权是什么？"]
["starring", "職業"]	["一CLPM个主演entity的演员的职业是什么？","一CLPM个主演entity的演员是做什么的？"]
["birthPlace", "官方語言"]	["entity的出生地的官方语言是什么？","在entity的出生地人们用什么语言交流？","entity的出生地人的交流语言是什么？","entity的出生地人说什么语言？"]
["location", "premierparty"]	["entity的总理党是什么？","entity的首要党派是什么？哪个党派在entity中处于首要位置？"]
["birthPlace", "leader"]	["entity的出生地的领导人是谁？","谁领导entity的出生地？","谁是entity的出生地的领导者？"]
["after", "successor"]	["entity的后继是什么？"]
["birthPlace", "國家憲法"]	["entity的出生地的国家宪法叫什么？","哪部法律是entity的出生地的国家宪法？"]
["clubs", "league"]	["entity所在的俱乐部参与的联赛叫什么名字？","entity所在的俱乐部在哪个联赛中参加比赛？"]
["workplaces", "affiliations"]	["entity的工作地点的附属机构是什么？"]
["music", "代表作"]	["制造entity的人的代表作是什么？","哪个作品是制造entity的人的代表作？"]
["music", "語言"]	["制造entity的人使用的语言是什么？","制造entity的人用什么语言交流？"]
["headquarters", "timezoneDst"]	["entity的总部使用的时区是什么？","entity的总部按哪个时区记时？"]
["location", "governmentType"]	["entity的市政管理组织模式是什么？","市政管理在entity是如何组织的？"]
["nationality", "貨幣單位"]	["entity的国籍的货币单位是什么？","entity的国籍使用什么货币？","哪种货币在entity的国籍流通？"]
["locationCountry", "官方文字"]	["entity所在的国家的官方文字是什么？","在entity所在的国家人们用什么语言交流？","entity所在的国家人的交流语言是什么？","entity所在的国家人说什么语言？"]
["residence", "東"]	["entity的住所东部的海洋是什么？","什么海位于entity的住所东部？"]
["locationCity", "leaderName"]	["entity所在的城市的领导者是谁？","entity所在的城市的市长的名字是什么？","谁是entity所在的城市的市长？"]
["locationCountry", "中央銀行"]	["entity所在的国家的中央银行是什么？","什么是entity所在的国家的中央银行？"]
["birthPlace", "deputy"]	["entity的出生地的代表是什么？","谁可以代表entity的出生地？"]
["influences", "influenced"]	["entity的影响受影响于什么？","entity的影响受到什么的影响？"]
["areaServed", "立國事件"]	["entity服务的区域的立国事件是什么？","什么事件标志着entity服务的区域成立？"]
["subdivisionName", "data"]	["entity的发生时间是什么时候？","事件entity在何时发生？","什么时候发生的事件entity？"]
["nationality", "最長河流"]	["entity的国籍的最长河流叫什么名字？","哪条河是entity的国籍中最长的河流？"]
["deathPlace", "timezone"]	["entity的死亡地点使用的时区是什么？","entity的死亡地点按哪个时区记时？"]
["placeOfBirth", "法律體系"]	["entity的出生地的法律体系是什么？","什么法律体系被entity的出生地使用？"]
["placeOfDeath", "deputy"]	["entity的死亡地点的代表是什么？","谁可以代表entity的死亡地点？"]
["billed", "timezone"]	["entity使用的时区是什么？","entity按哪个时区记时？"]
["manufacturer", "industry"]	["entity的制造商属于什么产业？"]
["location", "officiallang"]	["entity的官方语言是什么？"]
["county", "subdivisionName"]	["有entity属于哪个国家？","有entity位于哪个国家？"]
["location", "貨幣單位"]	["entity的货币单位是什么？","entity使用什么货币？","哪种货币在entity流通？"]
["parents", "genre"]	["entity的父母的演唱类型是什么?","entity的父母演唱什么类型的音乐？"]
["birthPlace", "legislature"]	["entity的出生地的立法机构是什么？"]
["associatedActs", "currentMembers"]	["entity的相关行为的现有成员是谁？","谁现在在entity的相关行为中？"]
["title", "associatedActs"]	["与entity的标题有关系的演员是谁？"]
["location", "立國事件"]	["entity的立国事件是什么？","什么事件标志着entity成立？"]
["country", "中央銀行"]	["entity的中央银行是什么？","什么是entity的中央银行？"]
["country", "主要宗教"]	["entity的主要宗教是什么？","什么宗教在entity属于主流？"]
["birthPlace", "國家結構形式"]	["entity的出生地的国家结构形式是什么？","entity的出生地是什么体制的国家？"]
["location", "location"]	["entity位于哪里？entity的位置是什么？"]
["branch", "identificationSymbol"]	["entity的一CLPM个分支的标志符号是多少？"]
["location", "主要宗教"]	["entity的主要宗教是什么？","什么宗教在entity属于主流？"]
["programmingLanguage", "influenced"]	["entity编写的编程语言受影响于什么？","entity编写的编程语言受到什么的影响？"]
["artist", "associatedActs"]	["与entity的艺术家有关系的演员是谁？"]
["placeOfBirth", "國家首都名稱"]	["entity的出生地的首都是什么？","哪里是entity的出生地的首都？"]
["birthPlace", "國家首都名稱"]	["entity的出生地的首都是什么？","哪里是entity的出生地的首都？"]
["birthPlace", "mapCaption"]	["entity的出生地的地图说明是什么？","entity的出生地在地图上的说明是什么？","地图上关于entity的出生地的描述是什么？"]
["location", "貨幣代碼"]	["entity的货币代码是什么?",""]
["location", "leaderName"]	["entity的领导者是谁？","entity的市长的名字是什么？","谁是entity的市长？"]
["workInstitutions", "data"]	["entity工作的机构的发生时间是什么时候？","事件entity工作的机构在何时发生？","什么时候发生的事件entity工作的机构？"]
["placeOfBirth", "senators"]	["entity的出生地的参议员是谁？"]
["placeOfBirth", "官方文字"]	["entity的出生地的官方文字是什么？","在entity的出生地人们用什么语言交流？","entity的出生地人的交流语言是什么？","entity的出生地人说什么语言？"]
["location", "subdivisionType"]	["entity的划分种类是什么？"]
["placeOfDeath", "民族"]	["entity的死亡地点的民族有哪些？","entity的死亡地点包含哪些民族？"]
["associatedActs", "genre"]	["entity的相关行为的演唱类型是什么?","entity的相关行为演唱什么类型的音乐？"]
["name", "position"]	["entity的名字的位置是什么？","entity的名字在比赛中打什么位置？"]
["almaMater", "type"]	["entity的母校的职业是什么？"]
["starring", "唱片公司"]	["一CLPM个主演entity的演员的唱片公司网站是什么？","什么网站是一CLPM个主演entity的演员的唱片公司？"]
["country", "西南"]	["entity西南部的海洋是什么？","什么海位于entity西南部？"]
["episodeList", "writtenby"]	["entity所在的剧集列表由谁创作？","谁写的entity所在的剧集列表？","entity所在的剧集列表是谁的作品？"]
["birthPlace", "subdivisionType"]	["entity的出生地的划分种类是什么？"]
["writer", "associatedActs"]	["与entity的作家有关系的演员是谁？"]
["writer", "genre"]	["entity的作家的演唱类型是什么?","entity的作家演唱什么类型的音乐？"]
["subdivisionName", "官方文字"]	["entity的官方文字是什么？","在entity人们用什么语言交流？","entity人的交流语言是什么？","entity人说什么语言？"]
["placeOfBirth", "mapCaption"]	["entity的出生地的地图说明是什么？","entity的出生地在地图上的说明是什么？","地图上关于entity的出生地的描述是什么？"]
["placeOfBirth", "曆法"]	["entity的出生地的历法是什么？","entity的出生地地区采用什么历法？"]
["province", "premierparty"]	["entity所在的省份的总理党是什么？","entity所在的省份的首要党派是什么？哪个党派在entity所在的省份中处于首要位置？"]
["location", "官方文字"]	["entity的官方文字是什么？","在entity人们用什么语言交流？","entity人的交流语言是什么？","entity人说什么语言？"]
["headquarters", "最大行政區名稱"]	["entity的总部的最大行政区名称是什么？"]
["birthPlace", "東"]	["entity的出生地东部的海洋是什么？","什么海位于entity的出生地东部？"]
["birthPlace", "postalcodeprefix"]	["entity的出生地的邮政编码前缀是什么？"]
["distributor", "parent"]	["entity的经销商的前身是什么？","entity的经销商由什么演变而来？"]
["party", "european"]	["entity所属的政党在欧洲的形式是什么？","欧洲的entity所属的政党是什么？"]
["birthPlace", "postalCode"]	["entity的出生地的邮政编码是什么?"]
["country", "中央政府所在地"]	["entity的中央政府所在地是哪里？"]
["manufacturer", "keyPeople"]	["entity的制造商的最重要的职务是什么？","entity的制造商中最高职位是什么？"]
["publisher", "subsid"]	["entity的出版商的子公司包括什么？","什么是entity的出版商的子公司？"]
["deathPlace", "senators"]	["entity的死亡地点的参议员是谁？"]
["country", "國家政權"]	["entity的国家政权是什么结构？"]
["platforms", "sourceModel"]	["entity所处的平台的代码模型是什么？"]
["platforms", "media"]	["entity所处的平台的媒体是什么？","entity所处的平台采用什么方式传媒？","entity所处的平台的传媒方式是什么？"]
["birthPlace", "國家代碼"]	["entity的出生地的国家代码是什么？"]
["publisher", "industry"]	["entity的出版商属于什么产业？"]
["party", "position"]	["entity所属的政党的位置是什么？","entity所属的政党在比赛中打什么位置？"]
["placeOfBirth", "道路通行方向"]	["entity的出生地的道路通行方向是什么？","在entity的出生地人们倾向于靠什么方向通行？"]
["location", "南"]	["entity南部水域是什么？","哪个水域位于entity南部？"]
["location", "最大城市名稱"]	["entity的最大的城市的名称是什么？","哪座城市是entity中最大的城市？"]
["location", "法律體系"]	["entity的法律体系是什么？","什么法律体系被entity使用？"]
["location", "south"]	["entity的南部是哪个城市？","哪个城市位于entity的南部？"]
["stadium", "tenants"]	["entity发生的体育场被哪个球队所使用？","哪个球队的主场在entity发生的体育场？","entity发生的体育场是哪个球队的主场？"]
["leader", "predecessor"]	["entity的领导者的前身是什么？"]
["clubs", "ground"]	["entity所在的俱乐部的主场在哪里？"]
["headquarters", "capital"]	["entity的总部的省会是哪里？","entity的总部的省会叫什么？","哪里是entity的总部的省会？"]
["after", "influenced"]	["entity受影响于什么？","entity受到什么的影响？"]
["subdivisionName", "官方語言"]	["entity的官方语言是什么？","在entity人们用什么语言交流？","entity人的交流语言是什么？","entity人说什么语言？"]
["placeOfBirth", "largestmetro"]	["entity的出生地的地铁在哪个区域？"]
["nationality", "region"]	["entity的国籍所在区域是哪里？",""]
["location", "governingBody"]	["entity的执政团体是谁？","entity的主管部门是什么？","哪个部门主管entity？"]
["successor", "placeOfBirth"]	["entity的接班人的出生地是哪里？","entity的接班人在那里出生？"]
["origin", "國家代碼"]	["entity的国家代码是什么？"]
["headquarters", "曆法"]	["entity的总部的历法是什么？","entity的总部地区采用什么历法？"]
["citizenship", "國家結構形式"]	["entity的公民身份的国家结构形式是什么？","entity的公民身份是什么体制的国家？"]
["placeOfBirth", "貨幣代碼"]	["entity的出生地的货币代码是什么?",""]
["birthPlace", "西北"]	["entity的出生地西南部的海洋是什么？","什么海位于entity的出生地西南部？"]
["placeOfDeath", "senators"]	["entity的死亡地点的参议员是谁？"]
["nationality", "最大行政區名稱"]	["entity的国籍的最大行政区名称是什么？"]
["education", "type"]	["entity参加的大学的职业是什么？"]
["location", "southeast"]	["entity的东南部是哪个城市？","哪个城市位于entity的东南部？"]
["location", "國家首都名稱"]	["entity的首都是什么？","哪里是entity的首都？"]
["location", "senators"]	["entity的参议员是谁？"]
["country", "官方語言"]	["entity的官方语言是什么？","在entity人们用什么语言交流？","entity人的交流语言是什么？","entity人说什么语言？"]
["origin", "type"]	["entity的职业是什么？"]
["partof", "place"]	["entity的一部分的地点在哪里？","哪里有entity的一部分？","entity的一部分位于什么地方？","entity的一部分在哪里？"]
["location", "政治制度"]	["entity的政治制度是什么？","entity采用什么制度治国？","什么政治制度被entity所采用？"]
["location", "主要节日"]	["entity的主要节日是什么？","什么节日是entity的主要节日？"]
["starring", "placeOfBirth"]	["一CLPM个主演entity的演员的出生地是哪里？","一CLPM个主演entity的演员在那里出生？"]
["subdivisionName", "法律體系"]	["entity的法律体系是什么？","什么法律体系被entity使用？"]
["subdivisionName", "國家結構形式"]	["entity的国家结构形式是什么？","entity是什么体制的国家？"]
["subdivisionName", "timeZone"]	["entity使用的时区是什么？","entity按哪个时区记时？"]
["network", "subsid"]	["entity的子公司包括什么？","什么是entity的子公司？"]
["clubs", "chairman"]	["entity所在的俱乐部的主席是谁？","谁是entity所在的俱乐部的主席？"]
["subdivisionName", "最大行政區名稱"]	["entity的最大行政区名称是什么？"]
["battles", "place"]	["entity加入的战斗的地点在哪里？","哪里有entity加入的战斗？","entity加入的战斗位于什么地方？","entity加入的战斗在哪里？"]
["deathPlace", "governingBody"]	["entity的死亡地点的执政团体是谁？","entity的死亡地点的主管部门是什么？","哪个部门主管entity的死亡地点？"]
["hostCity", "國家結構形式"]	["entity的主办城市的国家结构形式是什么？","entity的主办城市是什么体制的国家？"]
["location", "主要節日"]	["entity的主要节日是什么？","什么节日是entity的主要节日？"]
["stadium", "location"]	["entity发生的体育场位于哪里？entity发生的体育场的位置是什么？"]
["hostCity", "南"]	["entity的主办城市南部水域是什么？","哪个水域位于entity的主办城市南部？"]
["birthPlace", "國家外文語言"]	["entity的出生地的国家语言是什么？","entity的出生地使用什么语言？","在entity的出生地中人们用什么语言交流?"]
["nationality", "曆法"]	["entity的国籍的历法是什么？","entity的国籍地区采用什么历法？"]
["placeOfDeath", "國家結構形式"]	["entity的死亡地点的国家结构形式是什么？","entity的死亡地点是什么体制的国家？"]
["monarch", "as"]	["entity的君主是谁？","entity的君主的职务是什么？","entity的君主的身份是什么？"]
["monarch", "after"]	["entity的君主的下一位是什么？"]
["honorificSuffix", "lower"]	["entity的敬语后缀的下一个等级勋章是什么？","什么勋章位于entity的敬语后缀的下一个等级？","比entity的敬语后缀等级低一等的勋章是什么？"]
